Order_ID,Order_Date,Customer_ID,Region,Category,Sales
ORD-1,01-01-2022,2126,APAC,Office Supplies,781.17
ORD-2,01-01-2022,2459,EMEA,Office Supplies,1303.27
ORD-3,01-01-2022,1860,NA,Technology,1818.41
ORD-4,01-01-2022,2294,EMEA,Furniture,845.03
ORD-5,01-01-2022,2130,NA,Technology,642.53
ORD-6,01-01-2022,2095,NA,Office Supplies,789.11
ORD-7,01-01-2022,2724,EMEA,Furniture,882.09
ORD-8,01-01-2022,2044,LATAM,Technology,165.65
ORD-9,01-01-2022,2638,APAC,Office Supplies,1006.91
ORD-10,01-01-2022,1121,LATAM,Technology,998.74
ORD-11,01-01-2022,1466,LATAM,Technology,1185.12
ORD-12,01-01-2022,2238,EMEA,Technology,738.38
ORD-13,01-01-2022,1330,APAC,Furniture,1233.95
ORD-14,01-01-2022,2482,APAC,Office Supplies,1758.87
ORD-15,01-01-2022,1087,LATAM,Office Supplies,1911.83
ORD-16,01-01-2022,2396,EMEA,Office Supplies,1175.55
ORD-17,01-01-2022,2123,APAC,Office Supplies,104.33
ORD-18,01-01-2022,1871,LATAM,Furniture,1939.09
ORD-19,01-01-2022,2687,APAC,Technology,1417.61
ORD-20,01-01-2022,1130,EMEA,Office Supplies,685.21
ORD-21,01-01-2022,2685,EMEA,Furniture,311.37
ORD-22,01-01-2022,2332,EMEA,Technology,303.97
ORD-23,01-01-2022,1769,APAC,Furniture,352.13
ORD-24,01-01-2022,1343,NA,Furniture,110.23
ORD-25,02-01-2022,2515,APAC,Office Supplies,1806.27
ORD-26,02-01-2022,2437,NA,Office Supplies,1090.72
ORD-27,02-01-2022,1805,EMEA,Technology,1405.92
ORD-28,02-01-2022,1385,LATAM,Technology,1659.65
ORD-29,02-01-2022,2215,NA,Office Supplies,1587.25
ORD-30,02-01-2022,1955,EMEA,Furniture,1767.56
ORD-31,02-01-2022,1276,EMEA,Office Supplies,1935.16
ORD-32,02-01-2022,2184,NA,Technology,889.36
ORD-33,02-01-2022,1459,LATAM,Furniture,1901.66
ORD-34,02-01-2022,2337,EMEA,Furniture,1452.11
ORD-35,02-01-2022,1021,NA,Furniture,159.92
ORD-36,02-01-2022,1252,LATAM,Office Supplies,1369.93
ORD-37,02-01-2022,1747,LATAM,Office Supplies,1379.7
ORD-38,02-01-2022,1856,EMEA,Technology,1813.6
ORD-39,02-01-2022,2584,APAC,Furniture,758.41
ORD-40,02-01-2022,1474,APAC,Furniture,1178.12
ORD-41,02-01-2022,2082,EMEA,Office Supplies,44.13
ORD-42,02-01-2022,1510,LATAM,Technology,677.51
ORD-43,02-01-2022,2705,EMEA,Technology,143.24
ORD-44,02-01-2022,2499,NA,Furniture,1053.31
ORD-45,02-01-2022,1699,APAC,Office Supplies,1638.55
ORD-46,02-01-2022,1975,NA,Furniture,428.76
ORD-47,02-01-2022,2806,EMEA,Office Supplies,1064.33
ORD-48,02-01-2022,1189,EMEA,Technology,423.94
ORD-49,03-01-2022,1957,LATAM,Furniture,258.96
ORD-50,03-01-2022,1686,LATAM,Furniture,1031.77
ORD-51,03-01-2022,1957,LATAM,Furniture,176.71
ORD-52,03-01-2022,1562,NA,Technology,1182.96
ORD-53,03-01-2022,2899,LATAM,Furniture,82.05
ORD-54,03-01-2022,2590,EMEA,Technology,231.3
ORD-55,03-01-2022,2267,LATAM,Office Supplies,1109
ORD-56,03-01-2022,1831,APAC,Technology,1190.99
ORD-57,03-01-2022,2528,LATAM,Office Supplies,77.39
ORD-58,03-01-2022,2154,NA,Technology,1155.29
ORD-59,03-01-2022,2508,APAC,Technology,1680.24
ORD-60,03-01-2022,2842,APAC,Furniture,1450.19
ORD-61,03-01-2022,1646,APAC,Technology,279.75
ORD-62,03-01-2022,1020,NA,Furniture,1193.1
ORD-63,03-01-2022,1840,EMEA,Office Supplies,1351.06
ORD-64,03-01-2022,1166,LATAM,Office Supplies,93.72
ORD-65,03-01-2022,2297,APAC,Furniture,1713.59
ORD-66,03-01-2022,1387,APAC,Office Supplies,1814.41
ORD-67,03-01-2022,1600,APAC,Technology,1703.9
ORD-68,03-01-2022,1315,EMEA,Furniture,1652.77
ORD-69,03-01-2022,1013,EMEA,Furniture,1495.03
ORD-70,03-01-2022,1241,NA,Furniture,1274.2
ORD-71,03-01-2022,1776,EMEA,Office Supplies,1363.68
ORD-72,03-01-2022,2369,LATAM,Office Supplies,1616.66
ORD-73,04-01-2022,1564,NA,Technology,1331.75
ORD-74,04-01-2022,1897,NA,Technology,668.9
ORD-75,04-01-2022,2363,LATAM,Furniture,764.4
ORD-76,04-01-2022,1091,LATAM,Technology,1796.17
ORD-77,04-01-2022,2390,LATAM,Office Supplies,53.9
ORD-78,04-01-2022,1955,NA,Technology,1403.66
ORD-79,04-01-2022,2478,NA,Office Supplies,1910.46
ORD-80,04-01-2022,2451,NA,Technology,1418.33
ORD-81,04-01-2022,1508,LATAM,Office Supplies,1987.95
ORD-82,04-01-2022,1775,LATAM,Office Supplies,1381.34
ORD-83,04-01-2022,2966,APAC,Technology,88.04
ORD-84,04-01-2022,1034,EMEA,Technology,1657.48
ORD-85,04-01-2022,1205,APAC,Office Supplies,583.57
ORD-86,04-01-2022,2104,LATAM,Furniture,903.19
ORD-87,04-01-2022,2955,NA,Technology,637.94
ORD-88,04-01-2022,2585,LATAM,Office Supplies,551.74
ORD-89,04-01-2022,2895,EMEA,Technology,874.18
ORD-90,04-01-2022,2411,APAC,Technology,769.93
ORD-91,04-01-2022,2025,APAC,Technology,1274.01
ORD-92,04-01-2022,2021,NA,Technology,1630.04
ORD-93,04-01-2022,2413,APAC,Technology,608.24
ORD-94,04-01-2022,1565,APAC,Furniture,443.17
ORD-95,04-01-2022,2129,LATAM,Furniture,1340.45
ORD-96,04-01-2022,2795,APAC,Furniture,1347.23
ORD-97,05-01-2022,2845,APAC,Office Supplies,1804.24
ORD-98,05-01-2022,2500,APAC,Furniture,51.57
ORD-99,05-01-2022,1702,NA,Furniture,1709.02
ORD-100,05-01-2022,1401,NA,Office Supplies,1051.58
ORD-101,05-01-2022,1729,LATAM,Furniture,1250.18
ORD-102,05-01-2022,2579,APAC,Technology,200.92
ORD-103,05-01-2022,1161,NA,Furniture,876.58
ORD-104,05-01-2022,1201,NA,Furniture,470.06
ORD-105,05-01-2022,2981,LATAM,Furniture,523.37
ORD-106,05-01-2022,1995,EMEA,Technology,1018.11
ORD-107,05-01-2022,1269,APAC,Technology,1628.66
ORD-108,05-01-2022,2886,NA,Technology,1492.69
ORD-109,05-01-2022,1815,LATAM,Technology,1190.18
ORD-110,05-01-2022,2294,LATAM,Office Supplies,1088.05
ORD-111,05-01-2022,1455,LATAM,Technology,866.07
ORD-112,05-01-2022,2485,NA,Technology,1945.97
ORD-113,05-01-2022,2750,APAC,Technology,1129.18
ORD-114,05-01-2022,2275,EMEA,Technology,522.85
ORD-115,05-01-2022,2016,APAC,Office Supplies,475.58
ORD-116,05-01-2022,2725,LATAM,Furniture,1230.48
ORD-117,05-01-2022,1295,LATAM,Furniture,1055.2
ORD-118,05-01-2022,2748,EMEA,Technology,35.24
ORD-119,05-01-2022,1719,APAC,Technology,1663.53
ORD-120,05-01-2022,2772,LATAM,Technology,1414.16
ORD-121,06-01-2022,1337,LATAM,Furniture,1330.42
ORD-122,06-01-2022,1878,APAC,Furniture,156.19
ORD-123,06-01-2022,2076,LATAM,Technology,736.87
ORD-124,06-01-2022,1791,APAC,Furniture,1872.06
ORD-125,06-01-2022,2945,LATAM,Office Supplies,1727.93
ORD-126,06-01-2022,1216,APAC,Technology,585.38
ORD-127,06-01-2022,1763,EMEA,Technology,330.98
ORD-128,06-01-2022,1187,LATAM,Office Supplies,909.19
ORD-129,06-01-2022,1379,EMEA,Office Supplies,724.54
ORD-130,06-01-2022,1492,LATAM,Furniture,1370.81
ORD-131,06-01-2022,2064,LATAM,Office Supplies,1933.54
ORD-132,06-01-2022,2180,NA,Technology,738.74
ORD-133,06-01-2022,1014,APAC,Furniture,143.2
ORD-134,06-01-2022,2836,EMEA,Office Supplies,1797.28
ORD-135,06-01-2022,1064,EMEA,Furniture,95.14
ORD-136,06-01-2022,2880,EMEA,Furniture,1906.48
ORD-137,06-01-2022,2862,APAC,Furniture,1335.87
ORD-138,06-01-2022,1520,NA,Furniture,1884.54
ORD-139,06-01-2022,2367,EMEA,Office Supplies,415.33
ORD-140,06-01-2022,2152,APAC,Technology,100.59
ORD-141,06-01-2022,1647,LATAM,Technology,986.66
ORD-142,06-01-2022,2495,EMEA,Office Supplies,912.23
ORD-143,06-01-2022,2086,EMEA,Technology,676.35
ORD-144,06-01-2022,2162,NA,Furniture,1916.16
ORD-145,07-01-2022,2522,EMEA,Furniture,1648.72
ORD-146,07-01-2022,1592,EMEA,Furniture,1329.93
ORD-147,07-01-2022,1391,LATAM,Office Supplies,342.46
ORD-148,07-01-2022,2698,APAC,Furniture,1473.96
ORD-149,07-01-2022,1418,APAC,Furniture,1459.48
ORD-150,07-01-2022,1288,NA,Office Supplies,861.63
ORD-151,07-01-2022,1378,LATAM,Furniture,1851.08
ORD-152,07-01-2022,2796,APAC,Furniture,350.62
ORD-153,07-01-2022,2513,LATAM,Technology,549.33
ORD-154,07-01-2022,1230,APAC,Office Supplies,145.18
ORD-155,07-01-2022,2017,LATAM,Furniture,1594.99
ORD-156,07-01-2022,1040,NA,Furniture,1251.08
ORD-157,07-01-2022,2051,EMEA,Furniture,643.58
ORD-158,07-01-2022,1134,NA,Furniture,344.35
ORD-159,07-01-2022,1200,APAC,Technology,99.49
ORD-160,07-01-2022,2863,NA,Technology,350.16
ORD-161,07-01-2022,1779,EMEA,Technology,917.5
ORD-162,07-01-2022,1929,NA,Technology,509.41
ORD-163,07-01-2022,2056,APAC,Office Supplies,532.78
ORD-164,07-01-2022,2071,APAC,Furniture,1753.64
ORD-165,07-01-2022,1502,NA,Technology,1039.97
ORD-166,07-01-2022,1406,EMEA,Furniture,1463.92
ORD-167,07-01-2022,2597,NA,Office Supplies,90.71
ORD-168,07-01-2022,2751,EMEA,Furniture,743.02
ORD-169,08-01-2022,1804,LATAM,Furniture,968.76
ORD-170,08-01-2022,1098,EMEA,Technology,389.11
ORD-171,08-01-2022,1683,LATAM,Technology,257.98
ORD-172,08-01-2022,2895,NA,Office Supplies,1743.2
ORD-173,08-01-2022,1725,EMEA,Furniture,1880.07
ORD-174,08-01-2022,2570,LATAM,Technology,176.04
ORD-175,08-01-2022,1960,LATAM,Technology,711.06
ORD-176,08-01-2022,2762,LATAM,Technology,1917.41
ORD-177,08-01-2022,1612,APAC,Office Supplies,184.66
ORD-178,08-01-2022,2966,NA,Furniture,1294.41
ORD-179,08-01-2022,2485,LATAM,Technology,1945
ORD-180,08-01-2022,1642,EMEA,Furniture,1956.88
ORD-181,08-01-2022,2792,LATAM,Office Supplies,953.02
ORD-182,08-01-2022,2028,APAC,Furniture,342.24
ORD-183,08-01-2022,2241,NA,Technology,420.13
ORD-184,08-01-2022,1502,APAC,Furniture,1781.41
ORD-185,08-01-2022,1766,APAC,Furniture,1825.13
ORD-186,08-01-2022,1397,APAC,Office Supplies,1223.6
ORD-187,08-01-2022,1870,EMEA,Office Supplies,1537.03
ORD-188,08-01-2022,1794,NA,Furniture,1485.06
ORD-189,08-01-2022,1392,NA,Furniture,1330.41
ORD-190,08-01-2022,1206,EMEA,Furniture,1658.01
ORD-191,08-01-2022,2038,NA,Office Supplies,1377.11
ORD-192,08-01-2022,2881,APAC,Office Supplies,1077.32
ORD-193,09-01-2022,2577,NA,Furniture,489.17
ORD-194,09-01-2022,1891,EMEA,Office Supplies,1492.9
ORD-195,09-01-2022,2484,APAC,Technology,957.41
ORD-196,09-01-2022,2714,EMEA,Office Supplies,603.69
ORD-197,09-01-2022,2598,LATAM,Office Supplies,1607.85
ORD-198,09-01-2022,1863,APAC,Office Supplies,1399.49
ORD-199,09-01-2022,1742,APAC,Technology,1875.93
ORD-200,09-01-2022,2264,NA,Technology,347.57
ORD-201,09-01-2022,1563,APAC,Technology,1305.39
ORD-202,09-01-2022,2020,EMEA,Furniture,503.59
ORD-203,09-01-2022,1095,NA,Furniture,1809.09
ORD-204,09-01-2022,2923,LATAM,Technology,217.01
ORD-205,09-01-2022,2757,EMEA,Furniture,1319.2
ORD-206,09-01-2022,1484,LATAM,Furniture,1586.35
ORD-207,09-01-2022,2430,LATAM,Furniture,722.74
ORD-208,09-01-2022,1230,LATAM,Technology,1909.19
ORD-209,09-01-2022,1748,APAC,Office Supplies,1704.45
ORD-210,09-01-2022,2678,EMEA,Technology,603.34
ORD-211,09-01-2022,2194,EMEA,Technology,34.93
ORD-212,09-01-2022,1540,APAC,Furniture,607.38
ORD-213,09-01-2022,2059,NA,Furniture,576.99
